,name,site_url,country,bias,factual,press_freedom,media_type,popularity,MBFC_credibility,image_url,page_url,biaser
966,Times Colonist,https://www.timescolonist.com/,Canada,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/times-colonist/,mediabiasfactcheck.com
967,Times Headline,http://www.timesheadline.com,India,Left-center,Mixed,N/A,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter07.png,https://mediabiasfactcheck.com/times-headline/,mediabiasfactcheck.com
968,Times of Israel,http://www.timesofisrael.com/,Israel,Left-center,High,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/times-of-israel/,mediabiasfactcheck.com
969,The Times-Picayune,ttps://www.nola.com/,Usa,,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/the-times-picayune/,mediabiasfactcheck.com
970,TMZ,https://www.tmz.com/ ,Usa,Left-center,Mixed,N/A,Website,High,Low,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/tmz/,mediabiasfactcheck.com
971,Today.com (NBC Today Show),https://www.today.com/,Usa,Left-center,Mostly factual,Mostly free,Tv station/website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter06.png,https://mediabiasfactcheck.com/today-com/,mediabiasfactcheck.com
972,TomDispatch.com,https://www.tomdispatch.com/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/tomdispatch-com/,mediabiasfactcheck.com
973,Topeka Capital-Journal,https://www.cjonline.com/,Usa,Left-center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/topeka-capital-journal/,mediabiasfactcheck.com
974,Toronto Star,https://www.thestar.com/,Canada,Left-center,High,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter02.png,https://mediabiasfactcheck.com/toronto-star/,mediabiasfactcheck.com
975,Truth Be Told,http://truthbetold.news/,Usa,Left-center,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter01.png,https://mediabiasfactcheck.com/truth-be-told/,mediabiasfactcheck.com
976,Tuscaloosa News,https://www.tuscaloosanews.com/,Usa,Left-center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/tuscaloosa-news-bias/,mediabiasfactcheck.com
977,Type Media Center,https://typemediacenter.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/the-nation-institute/,mediabiasfactcheck.com
978,UAWire,https://uawire.org/,Ukraine,Left-center,Mixed,Limited freedom,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/uawire/,mediabiasfactcheck.com
979,Undark,https://undark.org,Usa,Left-center,High,N/A,Magazine (digital),Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter01.png,https://mediabiasfactcheck.com/undark/,mediabiasfactcheck.com
980,Union of Concerned Scientists,https://www.ucsusa.org,Usa,Left-center,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/union-of-concerned-scientists/,mediabiasfactcheck.com
981,United Federation of Teachers (UFT),https://www.uft.org/,Usa,Left-center,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/united-federation-of-teachers-uft/,mediabiasfactcheck.com
982,University Business,https://www.universitybusiness.com/,Usa,Left-center,High,N/A,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/university-business/,mediabiasfactcheck.com
983,Ukrayinska Pravda (The Ukrainian Truth ),https://www.pravda.com.ua/,Ukraine,Left-center,Mostly factual,Limited freedom,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/ukrayinska-pravda-the-ukrainian-truth/,mediabiasfactcheck.com
984,Urban Institute,ttps://www.urban.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/urban-institute/,mediabiasfactcheck.com
985,USA Today,https://www.usatoday.com,Usa,Left-center,Mostly factual,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/usa-today-2/,mediabiasfactcheck.com
986,US News World Report,https://www.usnews.com/,Usa,Left-center,High,N/A,Magazine,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/us-news-world-report/,mediabiasfactcheck.com
987,Utah Public Radio (UPR),https://www.upr.org/,Usa,Left-center,High,N/A,Radio station,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter11.png,https://mediabiasfactcheck.com/utah-public-radio-upr/,mediabiasfactcheck.com
988,Utica Observer-Dispatch,https://www.uticaod.com,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter06.png,https://mediabiasfactcheck.com/utica-observer-dispatch/,mediabiasfactcheck.com
989,UVA – Center for Politics,https://centerforpolitics.org/,Usa,Left-center,High,Mostly free,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter01.png,https://mediabiasfactcheck.com/uva-center-for-politics-bias/,mediabiasfactcheck.com
990,Variety Magazine,https://variety.com/,Usa,Left-center,High,Mostly free,Magazine,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter07.png,https://mediabiasfactcheck.com/variety-magazine/,mediabiasfactcheck.com
991,Ventura County Star,https://www.vcstar.com/,Usa,Left-center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/ventura-county-star-bias/,mediabiasfactcheck.com
992,Vera Files,https://verafiles.org/,Philippines,Left-center,High,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/vera-files/,mediabiasfactcheck.com
993,Vibe,https://www.vibe.com/,Usa,Left-center,Mixed,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter01.png,https://mediabiasfactcheck.com/vibe/,mediabiasfactcheck.com
994,Vice Media,https://www.vice.com/,Usa,Left-center,Mostly factual,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/vice-news/,mediabiasfactcheck.com
995,Victoria Advocate,https://www.victoriaadvocate.com/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/victoria-advocate/,mediabiasfactcheck.com
996,Victorville Daily Press,https://www.vvdailypress.com/,Usa,Left-center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/victorville-daily-press-bias/,mediabiasfactcheck.com
997,Virginia Mercury,https://www.virginiamercury.com,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/virginia-mercury/,mediabiasfactcheck.com
998,Visalia Times-Delta,https://www.visaliatimesdelta.com/,Usa,Left-center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/visalia-times-delta-bias/,mediabiasfactcheck.com
999,VladTV,https://www.vladtv.com/,Usa,Left-center,Mixed,N/A,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter01.png,https://mediabiasfactcheck.com/vladtv-bias/,mediabiasfactcheck.com
1000,Voice of San Diego,https://www.voiceofsandiego.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/voice-of-san-diego/,mediabiasfactcheck.com
1001,VoteVets.org,https://www.votevets.org/,Usa,Left-center,Mixed,N/A,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/votevets-org/,mediabiasfactcheck.com
1002,Vulture,http://www.vulture.com,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/vulture/,mediabiasfactcheck.com
1003,WalesOnline,https://www.walesonline.co.uk/,United kingdom,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter03.png,https://mediabiasfactcheck.com/walesonline/,mediabiasfactcheck.com
1004,WAMU-FM,https://wamu.org/,Usa,Left-center,High,Mostly free,Radio station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wamu-fm/,mediabiasfactcheck.com
1005,Washington Blade,http://www.washingtonblade.com/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter03.png,https://mediabiasfactcheck.com/washington-blade/,mediabiasfactcheck.com
1006,Washington Monthly,https://washingtonmonthly.com,Usa,Left-center,High,N/A,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter02.png,https://mediabiasfactcheck.com/washington-monthly/,mediabiasfactcheck.com
1007,Washington Post,https://www.washingtonpost.com/,Usa,Left-center,Mostly factual,Mostly free,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/washington-post/,mediabiasfactcheck.com
1008,WBBM CBS Chicago,https://chicago.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wbbm-cbs-chicago/,mediabiasfactcheck.com
1009,WBTS – NBC10 – Boston,https://www.nbcboston.com/,Usa,Left-center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wbts-nbc10-boston-bias/,mediabiasfactcheck.com
1010,WCCO – CBS Minnesota,https://minnesota.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wcco-cbs-minnesota/,mediabiasfactcheck.com
1011,Western Mass News,https://www.westernmassnews.com/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/western-mass-news/,mediabiasfactcheck.com
1012,WFOR – CBS Miami,https://miami.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wfor-cbs-miami/,mediabiasfactcheck.com
1013,Whitehouse.gov,https://www.whitehouse.gov,Usa,Left-center,Mostly factual,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter02.png,https://mediabiasfactcheck.com/whitehouse-gov/,mediabiasfactcheck.com
1014,WikiLeaks,https://www.wikileaks.org/,Iceland,Left-center,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter05.png,https://mediabiasfactcheck.com/wikileaks/,mediabiasfactcheck.com
1015,Wired Magazine,https://www.wired.com/,Usa,Left-center,High,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter07.png,https://mediabiasfactcheck.com/wired-magazine/,mediabiasfactcheck.com
1016,WISH-TV,https://www.wishtv.com/,Usa,Left-center,High,N/A,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter06.png,https://mediabiasfactcheck.com/wish-tv/,mediabiasfactcheck.com
1017,WJZ – CBS Baltimore,https://atlanta.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wjz-cbs-baltimore-bias/,mediabiasfactcheck.com
1018,WNYC,https://www.wnyc.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter07.png,https://mediabiasfactcheck.com/wnyc/,mediabiasfactcheck.com
1019,Woodrow Wilson International Center for Scholars,https://www.wilsoncenter.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/woodrow-wilson-international-center-for-scholars/,mediabiasfactcheck.com
1020,World Policy Institute (Broaden),https://broadenimpact.com/world-policy/,Usa,Left-center,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/world-policy-institute/,mediabiasfactcheck.com
1021,WorldCrunch,https://www.worldcrunch.com/,France,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter07.png,https://mediabiasfactcheck.com/worldcrunch/,mediabiasfactcheck.com
1022,World Economic Forum,https://www.weforum.org/,Switzerland,Left-center,High,N/A,Organization/foundation,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/world-economic-forum/,mediabiasfactcheck.com
1023,World Press Review,https://www.worldpress.org/,Usa,Left-center,Mostly factual,N/A,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/world-press-review/,mediabiasfactcheck.com
1024,World Resources Institute (WRI),https://www.wri.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter06.png,https://mediabiasfactcheck.com/world-resources-institute-wri/,mediabiasfactcheck.com
1025,WPVI – Philadelphia – Action News,https://6abc.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/wpvi-philadelphia-action-news-bias/,mediabiasfactcheck.com
1026,WRC-TV – NBC Washington,https://www.nbcwashington.com/,Usa,Left center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter11.png,https://mediabiasfactcheck.com/wrc-tv-nbc-washington/,mediabiasfactcheck.com
1027,WSVN.com,https://wsvn.com,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/wsvn-com/,mediabiasfactcheck.com
1028,WTOG – CBS Tampa,https://tampa.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wtog-cbs-tampa/,mediabiasfactcheck.com
1029,WTVJ – NBC 6 – Miami,https://www.nbcmiami.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wtvj-nbc-6-miami-bias/,mediabiasfactcheck.com
1030,WUPA – CBS Atlanta,https://atlanta.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wupa-cbs-atlanta/,mediabiasfactcheck.com
1031,WWJ – CBS Detroit,https://detroit.cbslocal.com/,Usa,Left-center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/wwj-cbs-detroit/,mediabiasfactcheck.com
1032,Yahoo News,https://news.yahoo.com/,Usa,Left-center,High,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter06.png,https://mediabiasfactcheck.com/yahoo-news/,mediabiasfactcheck.com
1033,YaleGlobal Online,https://yaleglobal.yale.edu,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter09.png,https://mediabiasfactcheck.com/yaleglobal-online-bias-credibility-rating/,mediabiasfactcheck.com
1034,YnetNews,http://www.ynetnews.com/,Israel,Left-center,High,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter04.png,https://mediabiasfactcheck.com/ynetnews/,mediabiasfactcheck.com
1035,York Daily Record,https://www.ydr.com/,Usa,Left-center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter11.png,https://mediabiasfactcheck.com/york-daily-record/,mediabiasfactcheck.com
1036,York Dispatch,https://www.yorkdispatch.com,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter10.png,https://mediabiasfactcheck.com/york-dispatch/,mediabiasfactcheck.com
1037,Youth Radio,https://youthradio.org/,Usa,Left-center,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leftcenter08.png,https://mediabiasfactcheck.com/youth-radio/,mediabiasfactcheck.com
1038,9News KUSA,https://www.9news.com/,Usa,Center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/9news-kusa/,mediabiasfactcheck.com
1039,11 News – KKCO,https://www.nbc11news.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/11-news-kkco/,mediabiasfactcheck.com
1040,12 News (KPNX),https://www.12news.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/12-news-kpnx/,mediabiasfactcheck.com
1041,13 News – WIBW,https://www.wibw.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/13-news-wibw/,mediabiasfactcheck.com
1042,23WIFR News,https://www.wifr.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/23wifr-news/,mediabiasfactcheck.com
1043,24/7 Wall St,https://247wallst.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/24-7-wall-st/,mediabiasfactcheck.com
1044,24ur.com,https://www.24ur.com/,Slovenia,Center,Mostly factual,Moderate freedom,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/24ur-com/,mediabiasfactcheck.com
1045,38 North,https://www.38north.org,Usa,Center,High,Mostly free,Organization/foundation,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/38-north/,mediabiasfactcheck.com
1046,1010 Wins AM,https://www.audacy.com/1010wins,Usa,Center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/1010-wins-am/,mediabiasfactcheck.com
1047,1440 Newsletter,https://join1440.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/1440-newsletter/,mediabiasfactcheck.com
1048,ABC7Chicago.com,https://abc7chicago.com/,Usa,Center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/abc7chicago-com/,mediabiasfactcheck.com
1049,ABC7 New York,https://abc7ny.com/,Usa,Center,High,Mostly free,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/abc7-new-york/,mediabiasfactcheck.com
1050,ABC12 News (WJRT),https://www.abc12.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/abc12-news-wjrt/,mediabiasfactcheck.com
1051,ABS-CBN News,https://news.abs-cbn.com/,Philippines,Center,High,Limited freedom,Tv station,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/abs-cbn-news/,mediabiasfactcheck.com
1052,ActionNewsJax.com,https://www.actionnewsjax.com/,Usa,Center,High,Mostly free,Tv station,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/actionnewsjax-com/,mediabiasfactcheck.com
1053,Ad Fontes Media,https://www.adfontesmedia.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,mediabiasfactcheck.com
1054,Adweek,https://www.adweek.com/,Usa,Center,High,Mostly free,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/adweek/,mediabiasfactcheck.com
1055,Africa Check,https://africacheck.org,South africa,Center,Very high,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/africa-check/,mediabiasfactcheck.com
1056,AgDaily,https://www.agdaily.com/,Usa,Center,High,Mostly free,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/agdaily/,mediabiasfactcheck.com
1057,AFP (Agence France Presse),https://www.afp.com/en/home,France,Center,High,Mostly free,News agency,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased011.png,https://mediabiasfactcheck.com/afp-agence-france-presse/,mediabiasfactcheck.com
1058,Agenzia Nazionale Stampa Associata (ANSA),http://www.ansa.it,Italy,Center,High,Moderate freedom,News agency,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,mediabiasfactcheck.com
1059,Agerpres,https://www.agerpres.ro/english,Romania,Center,High,Moderate freedom,News agency,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/agerpres/,mediabiasfactcheck.com
1060,AgWeb,https://www.agweb.com/,Usa,Right-center,High,Mostly free,Journal,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased031.png,https://mediabiasfactcheck.com/agweb/,mediabiasfactcheck.com
1061,Air Force Times,https://www.airforcetimes.com/,Usa,Center,High,N/A,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased061.png,https://mediabiasfactcheck.com/air-force-times/,mediabiasfactcheck.com
1062,Airwars,https://airwars.org/,United kingdom,Center,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased051.png,https://mediabiasfactcheck.com/airwars/,mediabiasfactcheck.com
1063,Alabama Political Reporter,https://www.alreporter.com/,Usa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased071.png,https://mediabiasfactcheck.com/alabama-political-reporter/,mediabiasfactcheck.com
1064,Albany Democrat-Herald,https://democratherald.com/,Usa,Center,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased101.png,https://mediabiasfactcheck.com/albany-democrat-herald/,mediabiasfactcheck.com
1065,Algemeen Dagblad,https://www.ad.nl/,Netherlands,Center,High,Mostly free,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/algemeen-dagblad/,mediabiasfactcheck.com
1066,AllAfrica,https://allafrica.com,South africa,Center,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased041.png,https://mediabiasfactcheck.com/allafrica/,mediabiasfactcheck.com
1067,Alliance for Securing Democracy,https://securingdemocracy.gmfus.org/,Usa,Center,High,Mostly free,Organization/foundation,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/alliance-securing-democracy/,mediabiasfactcheck.com
1068,Amarillo Globe-News,https://www.amarillo.com,Usa,Center,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/leastbiased081.png,https://mediabiasfactcheck.com/amarillo-globe-news/,mediabiasfactcheck.com
